Id_SKU;Nombre_SKU;Nombre Kupfer;Nombre Constructor 31;Nombre Easy;Nombre Construmart;Nombre Sodimac;Nombre Servimetal
1640030;ANGULO DOBLADO 30 X 30 X 2.0                      ;ANGULOS Estructurales Plegados-2.0 MM-30 x 30;ANGULO DOBLADO 30X30X2.0MM;Perfil ángulo 30X30X2 mm 6 m (5.34 kg);PERFIL ÁNGULO DOBLADO 30 X 30 X 2 MM 6 MT;30x30x2mm x6m Perfil ángulo doblado;ANGULO DOBLADO 30 X 30 X 2.0 mm
1620025;ANGULO LAMINADO 30X 30 X 3.0                      ;ANGULOS LAMINADOS ESTRUCTURALES-3.0 MM-30 x 30;ANGULO LAMINADO 30X30X3.0MM;Perfil ángulo 30X3 mm 6 m (8.16 kg);BARRA ANGULO LAMINADA 30 X 30 X 3 MM 8.16 KG;30 x 30 x 3 mm x 6 mt Ángulo Laminado;ANGULO LAMINADO 30 X 30 X 3.0 mm
1620035;ANGULO LAMINADO 40 X 40 X 3.0                     ;ANGULOS LAMINADOS ESTRUCTURALES-3.0 MM-40 x 40;ANGULO LAMINADO 40X40X3.0MM;Perfil ángulo 40X3 mm 6 m (11.04 kg);BARRA ANGULO LAMINADA 40 X 40 X 3 MM 11.04 KG;40x40x3mm x6m Ángulo laminado;ANGULO LAMINADO 40 X 40 X 3.0 mm
1620045;ANGULO LAMINADO 50 X 50 X 3.0                     ;ANGULOS LAMINADOS ESTRUCTURALES-3.0 MM-50 x 50;ANGULO LAMINADO 50X50X3.0MM;Perfil ángulo 50X3 mm 6 m (13.98 kg);BARRA ANGULO LAMINADA 50 X 50 X 3 MM 13.98 KG;50 x 50 x 3 mm x 6 mt Ángulo Laminado;ANGULO LAMINADO 50 X 50 X 3.0 mm
1540015C     ;FE REDONDO ESTRIADO A63-H42 10 MM                 ;;FIERRO ESTRIADO 10MM;;FIERRO HORMIGÓN BARRA A-63 10 MM 6 MT;Fierro 0 10 mm A-63 unidad 6 metros;FIERRO RED. ESTR. 10 mm
1540020C     ;FE REDONDO ESTRIADO A63-H42 12 MM                 ;;FIERRO ESTRIADO 12MM;;;Fierro 0 12 mm A-63 unidad 6 metros;FIERRO RED. ESTR. 12 mm
1540010C     ;FE REDONDO ESTRIADO A63-H42 8 MM                  ;;FIERRO ESTRIADO 8MM;;FIERRO HORMIGÓN BARRA A-63 8 MM 6 MT;Fierro 8 MM A-63 unidad. 6 Metros;FIERRO RED. ESTR. 8 mm
2100005;MALLA CERCO  3 MTS. X 1.85 (50X150) 3.8 m/m       ;;;;;;MALLA ACMA 185 X 3 mts ( 150 x 50 )
2100030;MALLA LOSA 5 MTS. X 2.40 MTS. (15X15) C-92        ;;;;MALLA C-92 CON ECONOMÍA DE BORDE 2.6 X 5 MT ARMACERO;2.60 x 5m. Malla Acma C- 92 Con economía de borde;
1070034;METALCON CANAL 62x25x0.85  - 2x3 -6mt             ;;METALCON CANAL 62X6MT 0.85MM U 2X3;;"PERFIL ESTRUCTURAL U 2X3"" 62 X 25 X 0.85 MM 6 MT";6m Perfil U 2x3x0.85 Metalcon estructural;CANAL 62 X 25 X 0.85 X 6 MTS U2X3X0.85
1070012;METALCON COSTANERA 60x38x6X0.85-2x3 -6 mt         ;;;;"PERFIL ESTRUCTURAL C 2X3"" 60 X 38 X 0.85 MM 6 MT";6m Perfil C 2x3x0.85 Metalcon estructural;MONTANTE 60 X 38 X 8 X 0.85 X 6 MTS C2X3X0.85
1070014;METALCON COSTANERA 90x38x12x0.85 - 2x4 - 6mt      ;;;;"PERFIL ESTRUCTURAL C 2X4"" 90 X 38 X 0.85 MM 6 MT";4m Perfil C 2x4x0.85 Metalcon estructural;MONTANTE 90 X 38 X 12 X 0.85 X 6 MTS C2X4X0.85
1070050;METALCON OMEGA ESTRUCT 38x35x15x8x0.85  -6mt      ;;METALCON OMEGA 6MT X 35X38 X 0.85MM ESTRUCTURAL;Omega normal 38X35X15X8X0.85 mm 6m (5.88 kg);PERFIL OMEGA 38 X 35 X 15 X 8 X 0.85 MM 6 MT;Estructura omega 35X38X15X8X0.85x6;OMEGA NORMAL 38 X 35 X 15 X 0.85 X 6 MTS
1080115;PERFIL CANAL 100 X 50 X 3.0                       ;Perfil Canal-100 X 50 X 3.0MM;CANAL 100X50X3.0MM;Perfil canal 100X50X3 mm 6 m (26.88 kg);PERFIL CANAL DOBLADO 100 X 50 X 3 MM 6 MT;100x50x3mm x6m Perfil Canal;CANAL 100 X 50 X 3.0 mm
1080160;PERFIL CANAL 150 X 50 X 2.0                       ;Perfil Canal-150 X 50 X 2.0MM;CANAL 150X50X2.0MM;Perfil canal 150X50X2 mm 6 m (22.92 kg);PERFIL CANAL DOBLADO 150 X 50 X 2 MM 6 MT;150x50x2mm x6m Perfil Canal;CANAL 150 X 50 X 2.0 mm
1080165;PERFIL CANAL 150 X 50 X 3.0                       ;Perfil Canal-150 X 50 X 3.0MM;CANAL 150X50X3.0MM;Perfil canal 150X50X3 mm 6 m (33.96 kg);PERFIL CANAL DOBLADO 150 X 50 X 3 MM 6 MT;;CANAL 150 X 50 X 3.0 mm
1100005;PERFIL COSTANERA 80 X 40 X 15 X 2.0               ;Perfil Costanera-80 x 40 x 15-2.0 MM;;Perfil costanera 80X40X15X2 mm 6 m (16.68 kg);PERFIL COSTANERA 80 X 40 X 15 X 2 MM 6 MT;80x40x15x2mm x6m Perfil costanera;COSTANERA 80 X 40 X 15 X 2.0 mm
1020145;PERFIL CUADRADO 100 X 100 X 2.0                   ;Perfil Cuadrado 100x100 2.0 MM 6000MM;PERFIL CUADRADO 100X100X2.0MM;Perfil cuadrado 100X100X2 mm 6 m (36.42 kg);PERFIL CUADRADO 100 X 100 X 2 MM 6 MT;100x100x2mm x6m Perfil tubular cuadrado;CUADRADO 100 X 100 X 2.0 mm
1020150;PERFIL CUADRADO 100 X 100 X 3.0                   ;Perfil Cuadrado 100x100 3.0 MM 6000MM;PERFIL CUADRADO 100X100X3.0MM;;PERFIL CUADRADO 100 X 100 X 3 MM 6 MT;100x100 x 3 mm x 6 mt Perfil Tubular Cuadrado;CUADRADO 100 X 100 X 3.0 mm
1020155;PERFIL CUADRADO 100 X 100 X 4.0                   ;Perfil Cuadrado 100x100 4.0 MM 6000MM;PERFIL CUADRADO 100X100X4.0MM;;PERFIL CUADRADO 100 X 100 X 4 MM 6 MT;100x100x4mm x6m Perfil tubular cuadrado;CUADRADO 100 X 100 X 4.0 mm
1020020;PERFIL CUADRADO 15 x 15 x 1.5                     ;Perfil Cuadrado 15x15 1.5 MM 6000MM;PERFIL CUADRADO 15X15X1.5MM;Perfil cuadrado 15X15X1.5 mm 6 m (3.54 kg);PERFIL CUADRADO 15 X 15 X 1.5 MM 6 MT;15x15 x 1.5 mm x 6 mt Perfil Tubular Cuadrado;CUADRADO 15 X 15 X 1.5 mm
1020030;PERFIL CUADRADO 20 x 20 x 1.5                     ;Perfil Cuadrado 20x20 1.5 MM 6000MM;PERFIL CUADRADO 20X20X1.5MM;;PERFIL CUADRADO 20 X 20 X 1.5 MM 6 MT;20x20 x 1.5 mm x 6 mt Perfil Tubular Cuadrado;CUADRADO 20 X 20 X 1.5 mm
1020035;PERFIL CUADRADO 20 x 20 x 2.0                     ;Perfil Cuadrado 20x20 2.0 MM 6000MM;PERFIL CUADRADO 20X20X2.0MM;;PERFIL CUADRADO 20 X 20 X 2 MM 6 MT;20x20 x 2 mm x 6 mt Perfil Tubular Cuadrado;CUADRADO 20 X 20 X 2.0 mm
1020060;PERFIL CUADRADO 30 x 30 x 1.5                     ;Perfil Cuadrado 30x30 1.5 MM 6000MM;PERFIL CUADRADO 30X30X1.5MM;Perfil cuadrado 30X30X1.5 mm 6 m (7.8 kg);PERFIL CUADRADO 30 X 30 X 1.5 MM 6 MT;30x30x1.5mm x6m Perfil tubular cuadrado;CUADRADO 30 X 30 X 1.5 mm
1020065;PERFIL CUADRADO 30 x 30 x 2.0                     ;Perfil Cuadrado 30x30 2.0 MM 6000MM;PERFIL CUADRADO 30X30X2.0MM;Perfil cuadrado 30X30X2 mm 6 m (10.08 kg);PERFIL CUADRADO 30 X 30 X 2 MM 6 MT;30x30x2mm x6m Perfil tubular cuadrado;CUADRADO 30 X 30 X 2.0 mm
1020075;PERFIL CUADRADO 40 x 40 x 1.5                     ;Perfil Cuadrado 40x40 1.5 MM 6000MM;PERFIL CUADRADO 40X40X1.5MM;Perfil cuadrado 40X40X1.5 mm 6 m (10.62 kg);PERFIL CUADRADO 40 X 40 X 1.5 MM 6 MT;40x40x1.5mm x6m Perfil tubular cuadrado;CUADRADO 40 X 40 X 1.5 mm
1020080;PERFIL CUADRADO 40 x 40 x 2.0                     ;Perfil Cuadrado 40x40 2.0 MM 6000MM;PERFIL CUADRADO 40X40X2.0MM;;PERFIL CUADRADO 40 X 40 X 2 MM 6 MT;40x40x2mm x6m Perfil tubular cuadrado;CUADRADO 40 X 40 X 2.0 mm
1020085;PERFIL CUADRADO 40 x 40 x 3.0                     ;Perfil Cuadrado 40x40 3.0 MM 6000MM;PERFIL CUADRADO 40X40X3.0MM;Perfil cuadrado 40X40X3 mm 6 m (19.8 kg);PERFIL CUADRADO 40 X 40 X 3 MM 6 MT;40x40x3mm x6m Perfil tubular cuadrado;CUADRADO 40 X 40 X 3.0 mm
1020100;PERFIL CUADRADO 50 X 50 X 2.0                     ;Perfil Cuadrado 50x50 2.0 MM 6000MM;PERFIL CUADRADO 50X50X2.0MM;Perfil cuadrado 50X50X2 mm 6 m (17.58 kg);PERFIL CUADRADO 50 X 50 X 2 MM 6 MT;50x50x2mm x6m Perfil tubular cuadrado;CUADRADO 50 X 50 X 2.0 mm
1020105;PERFIL CUADRADO 50 X 50 X 3.0                     ;Perfil Cuadrado 50x50 3.0 MM 6000MM;PERFIL CUADRADO 50X50X3.0MM;Perfil cuadrado 50X50X3 mm 6 m (25.5 kg);PERFIL CUADRADO 50 X 50 X 3 MM 6 MT;50x50x3mm x6m Perfil tubular cuadrado;CUADRADO 50 X 50 X 3.0 mm
1020125;PERFIL CUADRADO 75 X 75 X 2.0                     ;Perfil Cuadrado 75x75 2.0 MM 6000MM;PERFIL CUADRADO 75X75X2.0MM;Perfil cuadrado 75X75X2 mm 6 m (27 kg);PERFIL CUADRADO 75 X 75 X 2 MM 3 MT;75x75 x 2 mm x 6 mt Perfil Tubular Cuadrado;CUADRADO 75 X 75 X 2.0 mm
1020130;PERFIL CUADRADO 75 X 75 X 3.0                     ;Perfil Cuadrado 75x75 3.0 MM 6000MM;PERFIL CUADRADO 75X75X3.0MM;Perfil cuadrado 75X75X3 mm 6 m (39.6 kg);PERFIL CUADRADO 75 X 75 X 3 MM 6 MT;75x75 x 3 mm x 6 mt Perfil Tubular Cuadrado;CUADRADO 75 X 75 X 3.0 mm
1040150;PERFIL RECTANGULAR 100 X 50 X 2.0                 ;Perfiles Tubulares Rectangulares-100 x 50-2.0 MM;PERFIL RECTANGULAR 100X50X2.0MM;Perfil rectángulo 100X50X2 mm 6 m (27 kg);PERFIL RECTANGULAR 100 X 50 X 2 MM 6 MT;100x50x2mm x6m Perfil tubular rectangular;RECTANGULAR 50 X 100 X 2.0 mm
1040155;PERFIL RECTANGULAR 100 X 50 X 3.0                 ;Perfiles Tubulares Rectangulares-100 x 50-3.0 MM;PERFIL RECTANGULAR 100X50X3.0MM;Perfil rectángulo 100X50X3 mm 6 m (39.6 kg);PERFIL RECTANGULAR 100 X 50 X 3 MM 6 MT;100x50x3mm x6m Perfil tubular rectangular;RECTANGULAR 50 X 100 X 3.0 mm
1040210;PERFIL RECTANGULAR 150 X 100 X 3.0                ;Perfiles Tubulares Rectangulares-150 x 100-3.0 MM;;;;;RECTANGULAR 100 X 150 X 3.0 mm
1040165;PERFIL RECTANGULAR 150 X 50 X 2.0                 ;Perfiles Tubulares Rectangulares-150 x 50-2.0 MM;PERFIL RECTANGULAR 150X50X2.0MM;Perfil rectángulo 150X50X2 mm 6 m (36.42 kg);PERFIL RECTANGULAR 150 X 50 X 2 MM 6 MT;150x50x2.0mm x6m Perfil tubular rectangular;RECTANGULAR 50 X 150 X 2.0 mm
1040170;PERFIL RECTANGULAR 150 X 50 X 3.0                 ;Perfiles Tubulares Rectangulares-150 x 50-3.0 MM;PERFIL RECTANGULAR 150X50X3.0MM;Perfil rectángulo 150X50X3 mm 6 m (53.76 kg);PERFIL RECTANGULAR 150 X 50 X 3 MM 6 MT;150x50x3.0mm x6m Perfil tubular rectangular;RECTANGULAR 50 X 150 X 3.0 mm
1040055;PERFIL RECTANGULAR 20 X 30 X 1.5                  ;Perfiles Tubulares Rectangulares-30 x 20-1.5 MM;PERFIL RECTANGULAR 20X30X1.5MM;;PERFIL RECTANGULAR 30 X 20 X 1.5 MM 6 MT;30x20x1.5mm x6m Perfil tubular rectangular;RECTANGULAR 20 X 30 X 1.5 mm
1040060;PERFIL RECTANGULAR 20 X 30 X 2.0                  ;Perfiles Tubulares Rectangulares-30 x 20-2.0 MM;PERFIL RECTANGULAR 20X30X2.0MM;;PERFIL RECTANGULAR 30 X 20 X 2 MM 6 MT;30x20x2.0mm x6m Perfil tubular rectangular;RECTANGULAR 20 X 30 X 2.0 mm
1040070;PERFIL RECTANGULAR 20 X 40 X 1.5                  ;;PERFIL RECTANGULAR 20X40X1.5MM;Perfil rectángulo 40X20X1.5 mm 6 m (7.8 kg);PERFIL RECTANGULAR 40 X 20 X 1.5 MM 6 MT;40x20x1.5mm x6m Perfil tubular rectangular;RECTANGULAR 20 X 40 X 1.5 mm
1040075;PERFIL RECTANGULAR 20 X 40 X 2.0                  ;Perfiles Tubulares Rectangulares-40 x 20-2.0 MM;PERFIL RECTANGULAR 20X40X2.0MM;Perfil rectángulo 40X20X2 mm 6 m (10.08 kg);PERFIL RECTANGULAR 40 X 20 X 2 MM 6 MT;40x20x2.0mm x6m Perfil tubular rectangular;RECTANGULAR 20 X 40 X 2.0 mm
1040080;PERFIL RECTANGULAR 20 X 50 X 2.0                  ;Perfiles Tubulares Rectangulares-50 x 20 -2.0 MM;PERFIL RECTANGULAR 20X50X2.0MM;Perfil rectángulo 50X20X2 mm 6 m (11.94 kg);PERFIL RECTANGULAR 50 X 20 X 2 MM 6 MT;50x20x2.0mm x6m Perfil rectangular;RECTANGULAR 20 X 50 X 2.0 mm
